Innsbruck;124579;104,91;1,64;1445266;327;1;9;4;3;1
Seefeld in Tirol;3314;17,38;32,10;1092440;89;22;33;34;8;2
Kufstein;18215;39,37;38,68;143231;87;2;23;42;29;3
Lienz;11903;15,95;32,22;167838;66;7;35;35;27;4
Schwaz;13187;20,17;42,77;33980;65;4;30;48;44;5
Mayrhofen;3858;178,79;12,11;1530177;55;20;5;18;2;6
Wörgl;12980;19,73;30,37;62390;49;6;31;33;38;7
Hall in Tirol;13171;5,54;23,35;51488;47;5;49;30;39;8
Reutte;6210;100,92;61,93;108504;46;13;11;50;34;9
Kirchberg in Tirol;5131;97,8;38,98;855716;46;14;12;43;11;10
Kitzbühel;8211;58,02;18,16;777094;44;9;19;26;12;11
Neustift im Stubaital;4637;248,99;39,70;1208939;38;15;2;44;5;12
Serfaus;1086;59,64;40,64;1134854;38;44;18;45;7;13
Fügen;3954;6,64;34,81;537116;36;19;46;38;15;14
Thiersee;2844;108,61;17,86;189158;27;25;8;24;25;15
Imst;9661;113,4;71,89;229831;26;8;7;51;22;16
Ellmau;2702;36,4;27,06;689066;26;26;25;32;14;17
Völs;6595;5,62;5,17;3862;24;12;47;11;51;18
Wildschönau;4204;97,41;14,68;715812;22;18;14;21;13;19
Eben am Achensee;2979;196,59;21,21;1024743;22;24;4;27;9;20
Niederndorf;2661;7,21;7,01;22311;22;27;45;13;46;21
Ischgl;1562;103,33;2,39;1413942;21;36;10;6;4;22
Nauders;1552;90,29;35,79;510474;21;37;16;39;17;23
Obertilliach;693;65,04;100,00;117423;21;47;17;52;32;24
Zirl;7858;57,24;41,82;40134;20;10;20;47;42;25
St.Anton am Arlberg;2426;165,81;38,42;1136389;20;30;6;40;6;26
St. Leonhard im Pitztal;1419;223,42;32,96;516141;20;40;3;36;16;27
Telfs;14986;45,48;33,05;217933;18;3;21;37;23;28
Bad Häring;2585;9,28;14,20;180335;18;29;42;20;26;29
Weer;1485;5,61;1,74;41369;18;38;48;5;41;30
Grän;616;20,92;11,20;420237;18;49;29;17;20;31
Oberndorf in Tirol;2057;17,7;17,99;153151;17;32;32;25;28;32
Kolsass;1590;3,34;4,94;18662;17;35;50;9;49;33
Westendorf;3652;95,52;5,05;426339;13;21;15;10;19;34
Reith bei Kitzbühel;1669;15,66;7,21;118175;11;34;37;14;31;35
Fulpmes;4263;16,77;4,31;380749;10;17;34;8;21;36
Sölden;3302;466,88;26,26;2309507;10;23;1;31;1;37
Sistrans;2166;7,92;16,35;2896;10;31;43;22;52;38
Ampass;1762;7,9;2,53;11847;10;33;44;7;50;39
Mühlbachl;1332;28,65;1,34;19516;10;41;28;3;47;40
Matrei am Brenner;872;0,35;0,00;24049;10;46;52;1;45;41
Landeck;7828;15,87;43,87;106541;9;11;36;49;35;42
Biberwier;627;29,42;16,62;119176;8;48;27;23;30;43
Schlitters;1434;10,36;12,34;49686;7;39;40;19;40;44
Itter;1152;10,44;23,17;96058;7;43;39;28;36;45
Heiterwang;507;35,73;0,00;34199;7;50;26;2;43;46
Kappl;2615;97,48;41,52;485991;6;28;13;46;18;47
Haiming;4474;40,2;23,33;111820;5;16;22;29;33;48
Fiss;1016;37,7;38,60;879396;5;45;24;41;10;49
Fendels;252;13,48;10,95;78284;5;52;38;16;37;50
Ried im Zillertal;1224;9,46;10,30;211236;4;42;41;15;24;51
Mariastein;346;2,37;6,80;19071;4;51;51;12;48;52
